slug,title,manufacturer,release_year,aliases,series,genre,platform_hardware,variant_group,seed_tier,search_priority,notes
street-fighter-ii-champion-edition,"Street Fighter II': Champion Edition",Capcom,1992,"Champion Edition|SF2 CE|Street Fighter 2 Champion Edition",Street Fighter,Fighting,CPS-1,street-fighter-ii,1,96,"Classic baseline search title."
super-street-fighter-ii-turbo,Super Street Fighter II Turbo,Capcom,1994,"ST|Super Turbo|SSF2T",Street Fighter,Fighting,CPS-2,street-fighter-ii,1,98,"Still commonly searched by shorthand."
street-fighter-alpha-2,Street Fighter Alpha 2,Capcom,1996,"SFA2|Alpha 2",Street Fighter,Fighting,CPS-2,street-fighter-alpha,1,82,"Useful if retro fighter-heavy venues are in scope."
street-fighter-alpha-3,Street Fighter Alpha 3,Capcom,1998,"SFA3|Alpha 3",Street Fighter,Fighting,CPS-2,street-fighter-alpha,1,88,"Widely recognized sequel."
street-fighter-iii-3rd-strike,"Street Fighter III: 3rd Strike",Capcom,1999,"3rd Strike|Third Strike|SF3S|SFIII 3S",Street Fighter,Fighting,CPS-3,street-fighter-iii,1,100,"High-priority competitive search title."
street-fighter-iv-arcade-edition,Super Street Fighter IV Arcade Edition,Capcom,2010,"SF4 AE|Arcade Edition|SSF4 AE",Street Fighter,Fighting,Taito Type X2,street-fighter-iv,1,84,"Worth including if modern fighter locations matter."
street-fighter-v-type-arcade,Street Fighter V: Type Arcade,Capcom,2019,"SFV Type Arcade|Street Fighter V Arcade",Street Fighter,Fighting,Taito Type X Live,street-fighter-v,1,72,"Modern but less common; still searchable."
tekken-3,Tekken 3,Namco,1997,"Tekken III",Tekken,Fighting,System 12,tekken,1,92,"One of the most recognizable 3D fighters."
tekken-tag-tournament,Tekken Tag Tournament,Namco,1999,"TTT|Tekken Tag",Tekken,Fighting,System 12,tekken-tag,1,86,"Arcade staple with strong nostalgic search value."
tekken-5-dark-resurrection,Tekken 5: Dark Resurrection,Namco,2005,"T5DR|Dark Resurrection",Tekken,Fighting,System 256,tekken-5,1,76,"Useful if a venue has a stronger mid-2000s lineup."
tekken-7-fated-retribution,TEKKEN 7: Fated Retribution,Bandai Namco,2016,"Tekken 7 FR|T7FR|Tekken 7",Tekken,Fighting,ES3X,tekken-7,1,90,"Modern tournament-relevant title."
soulcalibur,Soulcalibur,Namco,1998,"Soul Calibur|SC1",Soulcalibur,Fighting,NAOMI,soulcalibur,1,70,"Classic 3D weapon fighter."
soulcalibur-ii,Soulcalibur II,Namco,2002,"Soul Calibur 2|SC2",Soulcalibur,Fighting,System 246,soulcalibur,1,82,"Often searched sequel."
virtua-fighter-5-final-showdown,Virtua Fighter 5 Final Showdown,Sega,2010,"VF5FS|Virtua Fighter 5 FS",Virtua Fighter,Fighting,Lindbergh,virtua-fighter-5,1,74,"Important for dedicated fighter scenes."
marvel-super-heroes-vs-street-fighter,Marvel Super Heroes vs. Street Fighter,Capcom,1997,"MSHvSF|Marvel vs Street Fighter",Marvel vs. Capcom,Fighting,CPS-2,marvel-vs-capcom,1,78,"Popular crossover predecessor."
marvel-vs-capcom-clash-of-super-heroes,"Marvel vs. Capcom: Clash of Super Heroes",Capcom,1998,"MVC1|Marvel vs Capcom 1",Marvel vs. Capcom,Fighting,CPS-2,marvel-vs-capcom,1,82,"Useful to distinguish from MVC2."
marvel-vs-capcom-2,"Marvel vs. Capcom 2",Capcom,2000,"MVC2|Marvel 2|Marvel vs Capcom 2",Marvel vs. Capcom,Fighting,NAOMI,marvel-vs-capcom,1,100,"Top-tier search title."
x-men-vs-street-fighter,X-Men vs. Street Fighter,Capcom,1996,"XvSF|X-Men vs SF",Marvel vs. Capcom,Fighting,CPS-2,marvel-vs-capcom,1,74,"Still common shorthand among older players."
capcom-vs-snk-2,Capcom vs. SNK 2,Capcom,2001,"CvS2|Capcom vs SNK 2",Capcom vs. SNK,Fighting,NAOMI,capcom-vs-snk,1,88,"Very common in enthusiast arcades."
melty-blood-actress-again-current-code,Melty Blood Actress Again Current Code,Ecole Software,2010,"MBAACC|Melty Blood",Melty Blood,Fighting,PC,melty-blood,1,58,"Niche but worth adding if modern fighters are in scope."
guilty-gear-xx-accent-core-plus-r,Guilty Gear XX Accent Core Plus R,Arc System Works,2012,"AC+R|Accent Core Plus R",Guilty Gear,Fighting,Sega RingEdge,guilty-gear-xx,1,70,"Useful for anime-fighter-heavy venues."
guilty-gear-xrd-rev-2,Guilty Gear Xrd REV 2,Arc System Works,2017,"Rev 2|Xrd Rev 2|GGXrd",Guilty Gear,Fighting,System ES3,guilty-gear-xrd,1,72,"Searchable modern anime fighter."
blazblue-centralfiction,BlazBlue Centralfiction,Arc System Works,2015,"BBCF|Centralfiction",BlazBlue,Fighting,Taito Type X3,blazblue,1,60,"Included for modern anime fighter coverage."
the-king-of-fighters-98,The King of Fighters '98,SNK,1998,"KOF 98|KoF98",The King of Fighters,Fighting,Neo Geo,the-king-of-fighters,1,84,"Highly searched SNK fighter."
the-king-of-fighters-2002-unlimited-match,The King of Fighters 2002 Unlimited Match,SNK,2009,"KOF 2002 UM|KoF 2002 UM",The King of Fighters,Fighting,Taito Type X,the-king-of-fighters,1,68,"Popular enthusiast title."
garou-mark-of-the-wolves,Garou: Mark of the Wolves,SNK,1999,"Garou|MOTW|Mark of the Wolves",Fatal Fury,Fighting,Neo Geo,garou,1,76,"Common shorthand search title."
samurai-shodown-v-special,Samurai Shodown V Special,SNK,2004,"SamSho V Special|SS5SP",Samurai Shodown,Fighting,Neo Geo,samurai-shodown,1,60,"Good enthusiast inclusion."
killer-instinct,Killer Instinct,Midway,1994,"KI1|Killer Instinct 1",Killer Instinct,Fighting,Arcade,killer-instinct,1,82,"Strong nostalgic recognition."
killer-instinct-2,Killer Instinct 2,Midway,1996,"KI2",Killer Instinct,Fighting,Arcade,killer-instinct,1,76,"Frequently paired with KI1."
mortal-kombat-ii,Mortal Kombat II,Midway,1993,"MK2|Mortal Kombat 2",Mortal Kombat,Fighting,Arcade,mortal-kombat,1,92,"Extremely high-recognition title."
ultimate-mortal-kombat-3,Ultimate Mortal Kombat 3,Midway,1995,"UMK3",Mortal Kombat,Fighting,Arcade,mortal-kombat,1,90,"Very common shorthand search."
mortal-kombat-4,Mortal Kombat 4,Midway,1997,"MK4",Mortal Kombat,Fighting,Zeus,mortal-kombat,1,62,"Useful for broad MK coverage."
dance-dance-revolution-extreme,DanceDanceRevolution Extreme,Konami,2002,"DDR Extreme|Extreme",DanceDanceRevolution,Rhythm,System 573,dance-dance-revolution,1,84,"Very common legacy DDR search."
dance-dance-revolution-supernova,DanceDanceRevolution SuperNOVA,Konami,2006,"DDR SuperNOVA|Supernova",DanceDanceRevolution,Rhythm,Python 2,dance-dance-revolution,1,72,"Relevant for many surviving DDR installs."
dance-dance-revolution-a20,DanceDanceRevolution A20,Konami,2019,"DDR A20|DDRA20|A20",DanceDanceRevolution,Rhythm,PC,dance-dance-revolution-a20,1,94,"Current-era DDR search target."
dance-dance-revolution-a20-plus,DanceDanceRevolution A20 Plus,Konami,2020,"DDR A20 Plus|DDR A20+|DDRA20+|A20 Plus",DanceDanceRevolution,Rhythm,PC,dance-dance-revolution-a20,1,96,"Separate if your scouting distinguishes exact current version."
pump-it-up-prime-2,Pump It Up PRIME 2,Andamiro,2017,"PIU Prime 2|Pump Prime 2",Pump It Up,Rhythm,PC,pump-it-up,1,82,"Very common PIU shorthand."
pump-it-up-phoenix,Pump It Up PHOENIX,Andamiro,2023,"PIU Phoenix|Pump Phoenix",Pump It Up,Rhythm,PC,pump-it-up,1,88,"Important current-era rhythm title."
sound-voltex-exceed-gear,SOUND VOLTEX EXCEED GEAR,Konami,2021,"SDVX|Sound Voltex|Exceed Gear",SOUND VOLTEX,Rhythm,PC,sound-voltex,1,74,"Popular modern Bemani search."
beatmania-iidx-31-epolis,beatmania IIDX 31 EPOLIS,Konami,2023,"IIDX 31|EPOLIS|beatmania IIDX",beatmania IIDX,Rhythm,PC,beatmania-iidx,1,72,"Current-era IIDX seed target."
gitadora-fuzz-up,GITADORA FUZZ-UP,Konami,2022,"GITADORA|Drummania|GuitarFreaks",GITADORA,Rhythm,PC,gitadora,1,62,"Covers drum/guitar rhythm searches."
jubeat-festo,jubeat festo,Konami,2018,"Jubeat",jubeat,Rhythm,PC,jubeat,1,52,"Niche but good for rhythm-friendly arcades."
taiko-no-tatsujin-green-version,Taiko no Tatsujin Green Version,Bandai Namco,2019,"Taiko|Taiko no Tatsujin",Taiko no Tatsujin,Rhythm,Arcade,taiko-no-tatsujin,1,78,"High recognition among modern rhythm players."
maimai-finale,maimai FiNALE,Sega,2018,"maimai",maimai,Rhythm,Arcade,maimai,1,64,"Useful for import rhythm venues."
house-of-the-dead-2,The House of the Dead 2,Sega,1998,"HOTD2|House of the Dead 2",The House of the Dead,Light Gun,NAOMI,house-of-the-dead,1,92,"Very common light-gun query."
house-of-the-dead-4,The House of the Dead 4,Sega,2005,"HOTD4|House of the Dead 4",The House of the Dead,Light Gun,Lindbergh,house-of-the-dead,1,78,"Strong modern-ish gun game search."
time-crisis-2,Time Crisis 2,Namco,1997,"TC2|Time Crisis II",Time Crisis,Light Gun,System 23,time-crisis,1,94,"Very high-recognition light gun title."
time-crisis-3,Time Crisis 3,Namco,2002,"TC3|Time Crisis III",Time Crisis,Light Gun,System 246,time-crisis,1,86,"Common sequel search."
time-crisis-4,Time Crisis 4,Namco,2006,"TC4|Time Crisis IV",Time Crisis,Light Gun,System Super 256,time-crisis,1,76,"Useful for newer setups."
luigis-mansion-arcade,Luigi's Mansion Arcade,Capcom,2015,"Luigis Mansion Arcade|Luigi Arcade",Luigi's Mansion,Light Gun,Namco ES3,luigis-mansion,1,82,"Modern family-friendly search title."
halo-fireteam-raven,Halo: Fireteam Raven,Raw Thrills,2018,"Fireteam Raven|Halo Arcade",Halo,Light Gun,Arcade,halo-fireteam-raven,1,84,"Very searchable modern arcade shooter."
jurassic-park-arcade,Jurassic Park Arcade,Raw Thrills,2015,"Jurassic Park Raw Thrills|Jurassic Park",Jurassic Park,Light Gun,Arcade,jurassic-park-arcade,1,86,"Common current family arcade title."
terminator-salvation,Terminator Salvation,Raw Thrills,2009,"Terminator Salvation Arcade",Terminator,Light Gun,Arcade,terminator-salvation,1,68,"Frequent shooter search in large arcades."
point-blank-2,Point Blank 2,Namco,1999,"Gun Bullet 2|Point Blank II",Point Blank,Light Gun,System 11,point-blank,1,62,"Good for retro gun venues."
daytona-usa,Daytona USA,Sega,1994,"Daytona",Daytona USA,Racing,Model 2,daytona-usa,1,96,"One of the most searched racers."
daytona-usa-2,Daytona USA 2,Sega,1998,"Daytona 2",Daytona USA,Racing,Model 3,daytona-usa,1,82,"Useful sequel distinction."
initial-d-arcade-stage-8-infinity,Initial D Arcade Stage 8 Infinity,Sega,2014,"Initial D 8|ID8|IDAS8|Initial D Infinity",Initial D,Racing,RingEdge 2,initial-d-arcade-stage,1,88,"Strong enthusiast search title."
initial-d-the-arcade,Initial D THE ARCADE,Sega,2021,"IDAC|Initial D Arcade",Initial D,Racing,ALLS HX2,initial-d-the-arcade,1,84,"High-value current import search."
outrun-2-sp,OutRun 2 SP,Sega,2004,"OutRun 2 SP|Outrun 2",OutRun,Racing,Chihiro,outrun,1,72,"Well-known Sega racer."
mario-kart-arcade-gp-dx,Mario Kart Arcade GP DX,Bandai Namco,2013,"MKAGPDX|Mario Kart Arcade",Mario Kart,Racing,Arcade,mario-kart-arcade-gp,1,92,"Very common family arcade search."
cruisn-blast,Cruis'n Blast,Raw Thrills,2017,"Cruisn Blast|Cruisin Blast",Cruis'n,Racing,Arcade,cruisn,1,84,"Popular modern arcade racer."
fast-and-furious-arcade,Fast & Furious Arcade,Raw Thrills,2022,"Fast and Furious Arcade|FNF Arcade",Fast & Furious,Racing,Arcade,fast-and-furious-arcade,1,72,"Modern search-friendly racer."
the-simpsons,The Simpsons,Konami,1991,"Simpsons Arcade",The Simpsons,Beat 'em up,Arcade,the-simpsons,1,90,"High-recognition co-op brawler."
teenage-mutant-ninja-turtles-turtles-in-time,"Teenage Mutant Ninja Turtles: Turtles in Time",Konami,1991,"TMNT Turtles in Time|Turtles in Time",Teenage Mutant Ninja Turtles,Beat 'em up,Arcade,tmnt,1,94,"Very high nostalgic search value."
x-men,X-Men,Konami,1992,"X-Men Arcade",X-Men,Beat 'em up,Arcade,x-men,1,92,"Common co-op classic query."
aliens-vs-predator,Aliens vs. Predator,Capcom,1994,"AVP|Aliens vs Predator",Aliens vs. Predator,Beat 'em up,CPS-2,aliens-vs-predator,1,82,"Popular Capcom brawler."
metal-slug-3,Metal Slug 3,SNK,2000,"MS3|Metal Slug III",Metal Slug,Run and gun,Neo Geo,metal-slug,1,88,"Most searched Metal Slug entry."
metal-slug-x,Metal Slug X,SNK,1999,"MSX|Metal Slug X",Metal Slug,Run and gun,Neo Geo,metal-slug,1,76,"Good complementary entry."
nba-jam,NBA Jam,Midway,1993,"NBA Jam Tournament Edition|NBA Jam TE",NBA Jam,Sports,Arcade,nba-jam,1,90,"Massive recognition; shorthand often varies."
killer-queen,Killer Queen,BumbleBear Games,2013,"KQ|Killer Queen Arcade",Killer Queen,Action,PC,killer-queen,1,86,"Modern social arcade standout."
pac-man-battle-royale,Pac-Man Battle Royale,Namco,2011,"Pac Man Battle Royale|PMBR",Pac-Man,Party,Arcade,pac-man,1,80,"Popular multiplayer modern Pac-Man."
galaga-assault,Galaga Assault,Namco,2008,"Galaga Assault Arcade",Galaga,Shooter,Arcade,galaga,1,58,"Useful for modernized classic lineups."
ms-pac-man,Ms. Pac-Man,Midway,1982,"Ms Pac Man|Miss Pac Man",Pac-Man,Classic,Arcade,pac-man,1,94,"Still one of the most recognizable evergreen titles."
galaga,Galaga,Namco,1981,"Galaga '81",Galaga,Classic,Arcade,galaga,1,90,"Evergreen classic search."
donkey-kong,Donkey Kong,Nintendo,1981,"DK|Donkey Kong Arcade",Donkey Kong,Classic,Arcade,donkey-kong,1,88,"Classic baseline title."
centipede,Centipede,Atari,1981,"Centipede Arcade",Centipede,Classic,Arcade,centipede,1,70,"Useful evergreen classic."
asteroids,Asteroids,Atari,1979,"Asteroids Arcade",Asteroids,Classic,Arcade,asteroids,1,68,"Useful evergreen classic."
