slug,name,street_address,city,region,postal_code,country,website,source_url,venue_type,free_play_model,priority_tier,notes
cidercade-dallas,Cidercade Dallas,"2777 Irving Blvd",Dallas,TX,75207,US,https://cidercade.com/dallas/,https://cidercade.com/dallas/,"free-play arcade bar",yes,1,"Official site says nearly 200 games and original Dallas location."
cidercade-arlington,Cidercade Arlington,"500 E. Division St.",Arlington,TX,76011,US,https://cidercade.com/arlington/,https://cidercade.com/arlington/,"free-play arcade bar",yes,1,"Official site says 275+ games and strong central-Arlington destination traffic."
cidercade-fort-worth,Cidercade Fort Worth,"1813 West Bowie St.",Fort Worth,TX,76110,US,https://cidercade.com/fortworth/,https://cidercade.com/fortworth/,"free-play arcade bar",yes,1,"Official site says 275+ games plus claw/ticket expansion."
free-play-richardson,Free Play Richardson,"1730 E Belt Line Rd",Richardson,TX,75081,US,https://freeplayinc.com/richardson/,https://freeplayinc.com/richardson/,"free-play arcade bar",yes,1,"Official site says 95+ arcade and pinball machines; heavily awarded DFW location."
free-play-dallas,Free Play Dallas,"3015 Gulden Lane",Dallas,TX,75212,US,https://freeplayinc.com/dallas,https://freeplayinc.com/dallas,"free-play arcade bar",yes,1,"Official site says 160+ arcade games and pinball in Trinity Groves."
free-play-arlington,Free Play Arlington,"400 E. South Street",Arlington,TX,76010,US,https://freeplayinc.com/arlington/,https://freeplayinc.com/arlington/,"free-play arcade bar",yes,1,"Official site says 130+ retro arcade games and pinball."
free-play-fort-worth,Free Play Fort Worth,"1311 Lipscomb St",Fort Worth,TX,76104,US,https://freeplayinc.com/fortworth/,https://freeplayinc.com/fortworth/,"free-play arcade bar",yes,1,"Official site says 90+ retro arcade games and pinball."
free-play-denton,Free Play Denton,"101 W. Hickory Street",Denton,TX,76201,US,https://freeplayinc.com/denton/,https://freeplayinc.com/denton/,"free-play arcade bar",yes,1,"Official site says 120+ arcade games and pinball; important North Texas anchor."
round1-grapevine-mills,Round1 Grapevine Mills,"3000 Grapevine Mills Pkwy",Grapevine,TX,76051,US,https://www.round1usa.com/locations/grapevine-mills,https://www.round1usa.com/locations/grapevine-mills,"mall entertainment center",no,1,"Major mainstream DFW import/rhythm and crane destination."
round1-arlington-parks,Round1 Arlington Parks,"3811 S Cooper St",Arlington,TX,76015,US,https://www.round1usa.com/locations/arlington-parks,https://www.round1usa.com/locations/arlington-parks,"mall entertainment center",no,1,"Large mainstream arcade destination with strong mall traffic."
nickel-mania-carrollton,Nickel Mania Carrollton,"2661 Midway Rd. Suite 218",Carrollton,TX,75006,US,https://www.nickelmania.com/,https://www.nickelmania.com/location/,"family arcade",no,2,"Official site says 100+ latest and classic video games with low-cost admission."
arcade-92-mckinney,Arcade 92 McKinney,"305 E. Virginia St., Suite 103",McKinney,TX,75069,US,https://www.arcade92.com/mckinney,https://www.arcade92.com/mckinney,"free-play arcade bar",yes,2,"Official site says 100+ free-play arcades in Historic Downtown McKinney."
arcade-92-flower-mound,Arcade 92 Flower Mound,"801 International Parkway, Suite 580",Flower Mound,TX,75022,US,https://www.arcade92.com/flowermound,https://www.arcade92.com/flowermound,"free-play arcade bar",yes,2,"Official site says 100+ free-play arcades; good North DFW candidate."
electric-starship-arcade,Electric Starship Arcade,"5620 Denton Hwy",Haltom City,TX,76148,US,https://electricstarshiparcade.com/,https://electricstarshiparcade.com/,"retro arcade",yes,2,"Official site says 130-140 games on the floor and 200 in rotation."
 